,Sentiment,Tweet
0,Neutral,Yo imagine how wild it would be if you watching Avengers and Thanos snap his fingers and the dude next to you fuckin di
1,Neutral,SpiderMan SpiderManHomecoming InfinityWarTH Avengers infinitywar
2,Neutral,Yo imagine how wild it would be if you watching Avengers and Thanos snap his fingers and the dude next to you fuckin di
3,Neutral,The universe has spoken Marvel Studios InfinityWar is the 1 movie opening of all time See it in theaters now
4,Positive,Marvels Avengers Infinity War war so fucking GOOD Die Spannung Handlung war einfach der Obershit Teil 2 bitte ko
5,Neutral,Jedi57 On dirait pas qu ils s en battent la race du Clasico et qu ils vont se caler au Kin polis devant Avengers ElCl si
6,Positive,hello i m a new marvel stan account and i d love to make some mutuals so rt if you like marvel loki tom hiddles
7,Neutral,What if the Avengers movies were made in the 90s Credit Houseofmat
8,Negative,Overboard is looking at a 14 million opening weekend
9,Neutral,Last intro at my UK hideaway at LaylowGolborne
10,Neutral,Compr el combo de pochoclos y gaseosa para que me den el vaso de Avengers y cuando lo fui a pedir YA NO HAB AN M S VASOS hash
11,Neutral,avengers cast being brothers from another mother
12,Neutral,Ya quiero que sea 03 05 2019 par ver la siguiente The Avengers
13,Neutral,Let s give this Thanos Funko Pop away Just follow and OUR PINNED TWEET to enter our competition We wil
14,Positive,I had a dream that Shazam showed up in Justice League 2 and he looked incredible then I left to go watch Avengers 4
